,baker,age,sex,occupation,hometown,season
1,Ben Frazer,31,M,Graphic Designer,Northampton,2
2,Holly Bell,31,F,Advertising executive,Leicester,2
3,Ian Vallance,40,M,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2
4,Janet Basu,63,F,Teacher of Modern Languages,"Formby, Liverpool",2
5,Jason White,19,M,Civil Engineering Student,Croydon,2
6,"Joanne ""Jo"" Wheatley",41,F,Housewife,"Ongar, Essex",2
7,Keith Batsford,31,M,House husband,"Arlesey, Bedfordshire",2
8,Mary-Anne Boermans,45,F,Housewife,"Kidderminster, Worcestershire",2
9,Robert Billington,25,M,Photographer,London,2
10,Simon Blackwell,31,M,Rugby Coach,Norfolk,2
11,Urvashi Roe,40,F,Head of Marketing,"Enfield, London",2
12,Yasmin Limbert,43,F,Childminder,"West Kirby, The Wirral",2
13,Brendan Lynch,63,M,Recruitment consultant,Sutton Coldfield,3
14,Cathryn Dresser,27,F,Shop assistant,"Pease Pottage, West Sussex",3
15,Danny Bryden,45,F,Intensive care consultant,Sheffield,3
16,James Morton,21,M,Medical student,"Hillswick, Shetland Islands",3
17,John Whaite,22,M,Law student,Wigan,3
18,Manisha Parmar,27,F,Nursery nurse,Leicester,3
19,Natasha Stringer,36,F,Midwife,"Tamworth, Staffordshire",3
20,Peter Maloney,43,M,Sales manager,"Windsor, Berkshire",3
21,Ryan Chong,38,M,Photographer,Bristol,3
22,Sarah-Jane Willis,28,F,Vicar's wife,"Bewbush, West Sussex",3
23,Stuart Marston-Smith,26,M,PE teacher,"Lichfield, Staffordshire",3
24,Victoria Chester,50,F,CEO of the charity Plantlife,Somerset,3
25,Ali Imdad,25,M,Charity worker,"Saltley, Birmingham",4
26,Beca Lyne-Pirkis,31,F,Military Wives' Choir Singer,"Aldershot, Hampshire",4
27,Christine Wallace,66,F,Director of an engraving company,"Didcot, Oxfordshire",4
28,Deborah Manger,51,F,Dentist,Peterborough,4
29,Frances Quinn,31,F,Children's Clothes Designer,"Market Harborough, Leicestershire",4
30,Glenn Cosby,37,M,English Teacher,"Teignmouth, Devon",4
31,Howard Middleton,51,M,Council Worker,Sheffield,4
32,Kimberley Wilson,30,F,Psychologist,London,4
33,Lucy Bellamy,38,F,Horticulturist,"Grimsby, Lincolnshire",4
34,Mark Onley,37,M,Carpenter and Kitchen Fitter,Milton Keynes,4
35,Robert Smart,54,M,Space Satellite Designer,"Melbourn, Cambridgeshire",4
36,Ruby Tandoh,20,F,History of Art and Philosophy Student,"Southend, Essex",4
37,Toby Waterworth,30,M,Web Programmer,"Reading, Berkshire",4
38,Chetna Makan,35,F,Fashion Designer,"Broadstairs, Kent",5
39,Claire Goodwin,31,F,Speech Therapist,"Ashton upon Mersey, Trafford",5
40,Diana Beard,69,F,Women's Institute (WI) Judge,"Alkington, Shropshire",5
41,Enwezor Nzegwu,39,M,Business Consultant,"Portsmouth, Hampshire",5
42,Iain Watters,31,M,Construction Engineer,London/Belfast,5
43,Jordan Cox,32,M,IT Manager,"Sneinton, Nottingham",5
44,Kate Henry,41,F,Furniture Restorer,"Brighton, East Sussex",5
45,Luis Troyano,42,M,Graphic Designer,"Poynton, Cheshire",5
46,Martha Collison,17,F,Student,"Ascot, Berkshire",5
47,Nancy Birtwhistle,60,F,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",5
48,Norman Calder,66,F,Retired Naval Officer,"Portknockie, Moray",5
49,Richard Burr,38,M,Builder,"Mill Hill, London",5
50,Alvin Magallanes,37,M,Nurse,"Bracknell, Berkshire",6
51,Dorret Conway,53,F,Accountant,"Penwortham, Lancashire",6
52,Flora Shedden,19,F,Art gallery assistant,"Dunkeld, Perth and Kinross",6
53,Ian Cumming,41,M,Travel photographer,"Great Wilbraham, Cambridgeshire",6
54,Marie Campbell,66,F,Retired,"Auchterarder, Perthshire",6
55,Mat Riley,37,M,Fire fighter,London,6
56,Nadiya Hussain,30,F,Full-time mother,Leeds / Luton,6
57,Paul Jagger,49,M,Prison governor,"Swansea, Wales",6
58,Sandy Docherty,49,F,Child welfare officer,"Yeadon, West Yorkshire",6
59,Stu Henshall,35,M,Professional musician,"Guildford, Surrey",6
60,Tamal Ray,29,M,Trainee anaesthetist,Manchester,6
61,Ugnė Bubnaityte,32,F,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",6
62,Andrew Smyth,25,M,Aerospace engineer,"Derby / Holywood, County Down",7
63,Benjamina Ebuehi,23,F,Teaching assistant,South London,7
64,Candice Brown,31,F,PE teacher,"Barton-Le-Clay, Bedfordshire",7
65,Jane Beedle,61,F,Garden designer,Beckenham,7
66,Kate Barmby,37,F,Nurse,"Brooke, Norfolk",7
67,Lee Banfield,67,M,Pastor,Bolton,7
68,Louise Williams,46,F,Hairdresser,Cardiff,7
69,Michael Georgiou,20,M,Student,Durham,7
70,Rav Bansal,28,M,Student support,Erith,7
71,Selasi Gbormittah,30,M,Client service associate,London,7
72,Tom Gilliford,26,M,Project engagement manager,Rochdale,7
73,"Valerie ""Val"" Stones",66,F,"Semi-retired, Substitute teacher",Yeovil,7
74,Chris Geiger,50,M,Software developer,Bristol,8
75,Flo Atkins,71,F,Retired,Merseyside,8
76,James Hillery,46,M,Banker,"Brentwood, Essex",8
77,Julia Chernogorova,21,F,Aviation Broker,"Crawley, West Sussex",8
78,Kate Lyon,29,F,Health and safety inspector,Merseyside,8
79,Liam Charles,19,M,Student,North London,8
80,Peter Abatan,52,M,IT programme manager,"Southend, Essex",8
81,Sophie Faldo,33,F,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8
82,Stacey Hart,42,F,Former school teacher,"Radlett, Hertfordshire",8
83,Steven Carter-Bailey,34,M,Marketer,"Watford, Hertfordshire",8
84,Tom Hetherington,29,M,Architect,Edinburgh,8
85,"Chuen-Yan ""Yan"" Tsou",46,F,Laboratory research scientist,North London,8
86,Antony Amourdoux,30,M,Banker,London,9
87,Briony Williams,33,F,Stay at home parent,Bristol,9
88,Dan Beasley-Harling,36,M,Stay at home parent,London,9
89,Imelda McCarron,33,F,Countryside recreation officer,County Tyrone,9
90,Jon Jenkins,47,M,Blood courier,Newport,9
91,Karen Wright,60,F,In-store sampling assistant,Wakefield,9
92,Kim-Joy Hewlett,27,F,Mental health specialist,Leeds,9
93,Luke Thompson,30,M,Civil servant/house and techno DJ,Sheffield,9
94,Manon Lagrève,26,F,Software project manager,London,9
95,Rahul Mandal,30,M,Research scientist,Rotherham,9
96,Ruby Bhogal,29,F,Project manager,London,9
97,Terry Hartill,56,M,Retired air steward,West Midlands,9
98,Alice Fevronia,28,F,Geography teacher,Essex,10
99,Amelia Le Bruin,24,F,Fashion designer,Halifax,10
100,Dan Chambers,32,M,Support worker,Rotherham,10
101,David Atherton,36,M,International health adviser,Whitby,10
102,Helena Garcia,40,F,Online project manager,Leeds,10
103,Henry Bird,20,M,Student,Durham,10
104,Jamie Finn,20,M,Part-time waiter,Surrey,10
105,Michael Chakraverty,26,M,Theatre manager/fitness instructor,Stratford-upon-Avon,10
106,Michelle Evans-Fecci,35,F,Print shop administrator,"Tenby, Wales",10
107,Phil Thorne,56,M,HGV driver,Rainham,10
108,Priya O'Shea,34,F,Marketing consultant,Leicester,10
109,Rosie Brandreth-Poynter,28,,Veterinary surgeon,Somerset,10
110,Steph Blackwell,28,F,Shop assistant,Chester,10
111,Dave Friday,30,M,Armoured security guard,"Waterlooville, Hampshire",11
112,Hermine,39,F,Accountant,London,11
113,Laura Adlington,31,F,Digital manager,"Gravesend, Kent",11
114,Linda Rayfield,61,F,Retirement living team leader,"Bexhill-on-Sea, East Sussex",11
115,Loriea Campbell-Clarey,27,F,Diagnostic radiographer,Durham,11
116,Lottie Bedlow,31,F,Pantomime producer,West Sussex,11
117,"Makbul ""Mak"" Patel",51,M,Accountant,Manchester,11
118,Marc Elliott,51,M,Bronze resin sculptor,"St Eval, Cornwall",11
119,Mark Lutton,32,M,Project manager,"Portadown, Northern Ireland",11
120,Peter Sawkins,20,M,Accounting & finance student,Edinburgh,11
121,Rowan Williams,55,M,Music teacher,"Pershore, Worcestershire",11
122,Sura Mitib,31,F,Hospital pharmacy dispenser,London,11
123,Amanda Georgiou,56,F,Metropolitan Police detective,London,12
124,Chigs Parmar,40,M,Sales manager,Leicester,12
125,Crystelle Pereira,26,F,Client relationship manager,London,12
126,Freya Cox,19,F,Student,"Scarborough, North Yorkshire",12
127,George Aristidou,34,M,Shared lives coordinator,London,12
128,Giuseppe Dell'Anno,45,M,Chief engineer,Bristol,12
129,Jairzinho Parris,51,M,Head of Finance,London,12
130,Jürgen Krauss,56,M,Physicist,"Brighton, East Sussex",12
131,Lizzie Acker,28,F,Car production operative,Liverpool,12
132,Maggie,70,F,Retired nurse and midwife,"Poole, Dorset",12
133,Rochica,27,F,Junior HR business partner,Birmingham,12
134,Tom Fletcher,28,M,Software developer,"Maidstone, Kent",12